References,ISO/IEC 27001:2022
GV.RR-01,"Mandatory Clause: 7.2, Annex A Controls: 5.4"
GV.RR-02,"Mandatory Clause: 7.2, Annex A Controls: None"
GV.RR-03,"Mandatory Clause: 7.1, 7.2, Annex A Controls:"
GV.RR-04,"Mandatory Clause: 7.3, Annex A Controls: 6.1, Annex A Controls: 6.2, Annex A Controls: 6.3, Annex A Controls: 6.4, Annex A Controls: 6.5, Annex A Controls: 6.6, Annex A Controls: 6.7, Annex A Controls: 6.8"
GV.PO,"Mandatory Clause: 5.2, Annex A Controls: 5.3, Annex A Controls: 5.36"
GV.PO-01,"Mandatory Clause: 5.2, Annex A Controls: 5.1"
GV.PO-02,"Mandatory Clause: 5.2, Annex A Controls: 5.1"
GV.OV,"Mandatory Clause: 8.1, Mandatory Clause: 8.2, Mandatory Clause: 8.3, Mandatory Clause: 9.1, Mandatory Clause: 10.2, Annex A Controls: 5.1, Annex A Controls: 5.19"
GV.OV-01,"Mandatory Clause: 9.1, Annex A Controls: 5.1, Annex A Controls: 5.19"
GV.OV-02,"Mandatory Clause: 9.1, Annex A Controls: 5.1, Annex A Controls: 5.19"
GV.OV-03,"Mandatory Clause: 9.1, Annex A Controls: 5.1, Annex A Controls: 5.19, Annex A Controls: 5.20"
GV.SC,"Mandatory Clause: 8.1, Annex A Controls: 5.1, Annex A Controls: 5.19, Annex A Controls: 5.20"
GV.SC-01,"Mandatory Clause: 8.1, Annex A Controls: 5.1, Annex A Controls: 5.19, Annex A Controls: 5.20, Annex A Controls: 5.21, Annex A Controls: 5.22"
GV.SC-02,"Mandatory Clause: 5.3, Annex A Controls: 5.2, Annex A Controls: 5.4"
GV.SC-03,"Mandatory Clause: 8.1, Annex A Controls: 5.1, Annex A Controls: 5.19, Annex A Controls: 5.20, Annex A Controls: 5.21"
GV.SC-04,"Mandatory Clause: 6.1.1, Mandatory Clause: 6.1.2, Mandatory Clause: 6.1.3, Annex A Controls: 5.19, Annex A Controls: 5.22"
GV.SC-05,"Mandatory Clause: 4.2 (a), Annex A Controls: 5.19, Annex A Controls: 5.20, Annex A Controls: 5.31"
GV.SC-06,"Mandatory Clause: 4.2 (a), Annex A Controls: 5.19, Annex A Controls: 5.20, Annex A Controls: 5.31"
GV.SC-07,"Mandatory Clause: 6.1.1, Mandatory Clause: 6.1.2, Mandatory Clause: 6.1.3, Annex A Controls: 5.19, Annex A Controls: 5.20, Annex A Controls: 5.31"
GV.SC-08,"Mandatory Clause: None, Annex A Controls: 5.26"
GV.SC-09,"Mandatory Clause: 6.1.1, Mandatory Clause: 6.1.2, Annex A Controls: 5.19, Annex A Controls: 5.20, Annex A Controls: 5.21, Annex A Controls: 5.22"
GV.SC-10,"Mandatory Clause: 6.1.1, Mandatory Clause: 6.1.2, Mandatory Clause: 6.1.3, Annex A Controls: 5.19, Annex A Controls: 5.20, Annex A Controls: 5.21, Annex A Controls: 5.22"
ID,"Mandatory Clause: 8.1, Mandatory Clause: 8.2, Mandatory Clause: 8.3, Mandatory Clause: 10.2, Annex A Controls: None"
ID.AM,"Mandatory Clause: None, Annex A Controls: 5.9, Annex A Controls: 5.12, Annex A Controls: 5.13"
ID.AM-01,"Mandatory Clause: None, Annex A Controls: 5.9"
ID.AM-02,"Mandatory Clause: None, Annex A Controls: 5.9"
ID.AM-03,"Mandatory Clause: None, Annex A Controls: 5.14, Annex A Controls: 8.20, Annex A Controls: 8.21, Annex A Controls: 8.22"
ID.AM-04,"Mandatory Clause: None, Annex A Controls: 5.22"
ID.AM-05,"Mandatory Clause: None, Annex A Controls: 5.9, Annex A Controls: 5.12, Annex A Controls: 5.13"
ID.AM-07,"Mandatory Clause: None, Annex A Controls: 5.9"
ID.AM-08,"Mandatory Clause: None, Annex A Controls: 5.8, Annex A Controls: 5.9, Annex A Controls: 5.12, Annex A Controls: 5.13, Annex A Controls: 5.19, Annex A Controls: 5.22, Annex A Controls: 7.10, Annex A Controls: 7.13, Annex A Controls: 7.14"
ID.RA,"Mandatory Clause: 6.1.1, Mandatory Clause: 6.1.2, Mandatory Clause: 6.1.3, Annex A Controls: None"
ID.RA-01,"Mandatory Clause: None, Annex A Controls: 8.8"
ID.RA-02,"Mandatory Clause: None, Annex A Controls: 5.7, Annex A Controls: 5.22, Annex A Controls: 8.16"
ID.RA-03,"Mandatory Clause: 6.1.1, Mandatory Clause: 6.1.2, Mandatory Clause: 6.1.3, Annex A Controls: 5.7, Annex A Controls: 5.22, Annex A Controls: 8.16"
ID.RA-04,"Mandatory Clause: 6.1.1, Mandatory Clause: 6.1.2, Mandatory Clause: 6.1.3, Annex A Controls: None"
ID.RA-05,"Mandatory Clause: 6.1.1, Mandatory Clause: 6.1.2, Mandatory Clause: 6.1.3, Annex A Controls: 5.7"
ID.RA-06,"Mandatory Clause: 6.13, Annex A Controls: 5.7"
ID.RA-07,"Mandatory Clause: 6.1.3, Annex A Controls: 8.32"
ID.RA-08,"Mandatory Clause: 6.1.2, Annex A Controls: None"
ID.RA-09,"Mandatory Clause: None, Annex A Controls: 5.19, Annex A Controls: 5.20, Annex A Controls: 5.22"
ID.RA-10,"Mandatory Clause: None, Annex A Controls: 5.19, Annex A Controls: 5.20, Annex A Controls: 5.22"
ID.IM,"Mandatory Clause: 10.1, Mandatory Clause: 10.2, Annex A Controls: None"
ID.IM-01,"Mandatory Clause: 9.2, Mandatory Clause: 10.1, Mandatory Clause: 10.2, Annex A Controls: 5.35"
ID.IM-02,"Mandatory Clause: 9.2, Mandatory Clause: 9.3, Mandatory Clause: 10.1, Mandatory Clause: 10.2, Annex A Controls: 5.19, Annex A Controls: 5.35"
ID.IM-03,"Mandatory Clause: 9.1, Annex A Controls: 5.27"
ID.IM-04,"Mandatory Clause: 9.1, Annex A Controls: 5.24, Annex A Controls: 5.26, Annex A Controls: 5.27"
PR,"Mandatory Clause: 8.3, Annex A Controls: All applicable controls"
PR.AA,"Mandatory Clause: None, Annex A Controls: 5.15, Annex A Controls: 5.18, Annex A Controls: 8.2, Annex A Controls: 8.3"
PR.AA-01,"Mandatory Clause: None, Annex A Controls: 5.15, Annex A Controls: 5.18, Annex A Controls: 8.2, Annex A Controls: 8.5"
PR.AA-02,"Mandatory Clause: None, Annex A Controls: 8.2, Annex A Controls: 8.3, Annex A Controls: 8.5"
PR.AA-03,"Mandatory Clause: None, Annex A Controls: 5.15, Annex A Controls: 5.16, Annex A Controls: 5.17, Annex A Controls: 5.18, Annex A Controls: 8.5"
PR.AA-04,"Mandatory Clause: None, Annex A Controls: 5.16"
PR.AA-05,"Mandatory Clause: None, Annex A Controls: 5.1, Annex A Controls: 5.3, Annex A Controls: 5.14, Annex A Controls: 5.15, Annex A Controls: 5.16, Annex A Controls: 5.17, Annex A Controls: 5.18, Annex A Controls: 8.2, Annex A Controls: 8.3, Annex A Controls: 8.5, Annex A Controls: 8.18"
PR.AA-06,"Mandatory Clause: None, Annex A Controls: 7.1, Annex A Controls: 7.2, Annex A Controls: 7.3, Annex A Controls: 7.4, Annex A Controls: 7.12"
PR.AT,"Mandatory Clause: 7.3, Annex A Controls: 6.3"
PR.AT-01,"Mandatory Clause: 7.3, Annex A Controls: 6.3"
PR.AT-02,"Mandatory Clause: 7.3, Annex A Controls: 5.2, Annex A Controls: 6.3"
PR.DS,"Mandatory Clause: 6.1.1, Annex A Controls: 5.1, Annex A Controls: 5.33"
PR.DS-01,"Mandatory Clause: 4.2(b), Mandatory Clause: 5.2, Annex A Controls: 5.1, Annex A Controls: 5.3, Annex A Controls: 5.10, Annex A Controls: 5.13, Annex A Controls: 5.14, Annex A Controls: 5.15, Annex A Controls: 6.1, Annex A Controls: 6.2, Annex A Controls: 6.5, Annex A Controls: 7.7, Annex A Controls: 7.10, Annex A Controls: 8.2, Annex A Controls: 8.3, Annex A Controls: 8.4, Annex A Controls: 8.7, Annex A Controls: 8.8, Annex A Controls: 8.17, Annex A Controls: 8.19, Annex A Controls: 8.22, Annex A Controls: 8.26"
PR.DS-02,"Mandatory Clause: 4.2(b), Mandatory Clause: 5.2, Annex A Controls: 5.3, Annex A Controls: 5.10, Annex A Controls: 5.13, Annex A Controls: 5.14, Annex A Controls: 5.15, Annex A Controls: 6.1, Annex A Controls: 6.2, Annex A Controls: 6.5, Annex A Controls: 8.2, Annex A Controls: 8.3, Annex A Controls: 8.4, Annex A Controls: 8.17, Annex A Controls: 8.20, Annex A Controls: 8.22, Annex A Controls: 8.26"
PR.DS-10,"Mandatory Clause: 4.2(b), Mandatory Clause: 5.2, Annex A Controls: 5.3, Annex A Controls: 5.10, Annex A Controls: 5.13, Annex A Controls: 5.14, Annex A Controls: 5.15, Annex A Controls: 6.1, Annex A Controls: 6.2, Annex A Controls: 6.5, Annex A Controls: 8.2, Annex A Controls: 8.3, Annex A Controls: 8.4, Annex A Controls: 8.17, Annex A Controls: 8.22, Annex A Controls: 8.26"
PR.DS-11,"Mandatory Clause: None, Annex A Controls: 8.13"
PR.PS,"Mandatory Clause: 8.1, Annex A Controls: 8.5, Annex A Controls: 8.8, Annex A Controls: 8.9, Annex A Controls: 8.14"
PR.PS-01,"Mandatory Clause: 9.3, Annex A Controls: 8.9"
PR.PS-02,"Mandatory Clause: None, Annex A Controls: 5.9"
PR.PS-03,"Mandatory Clause: None, Annex A Controls: 5.9"
PR.PS-04,"Mandatory Clause: None, Annex A Controls: 8.15, Annex A Controls: 8.17"
PR.PS-05,"Mandatory Clause: None, Annex A Controls: 8.19"
PR.PS-06,"Mandatory Clause: None, Annex A Controls: 8.25, Annex A Controls: 8.28"
PR.IR,"Mandatory Clause: None, Annex A Controls: 6.6, Annex A Controls: 8.27"
PR.IR-01,"Mandatory Clause: None, Annex A Controls: 8.20, Annex A Controls: 8.21, Annex A Controls: 8.22"
PR.IR-02,"Mandatory Clause: None, Annex A Controls: 7.5"
PR.IR-03,"Mandatory Clause: 4.2(b), Mandatory Clause: 6.1.1, Annex A Controls: 5.29, Annex A Controls: 8.14"
PR.IR-04,"Mandatory Clause: None, Annex A Controls: 8.6"
DE,"Mandatory Clause: None, Annex A Controls: 8.16"
DE.AE,"Mandatory Clause: None, Annex A Controls: 5.26, Annex A Controls: 8.16"
DE.AE-02,"Mandatory Clause: None, Annex A Controls: 5.24, Annex A Controls: 5.25"
DE.AE-03,"Mandatory Clause: None, Annex A Controls: 8.15, Annex A Controls: 8.16"
DE.AE-04,"Mandatory Clause: None, Annex A Controls: 5.25"
DE.AE-06,"Mandatory Clause: None, Annex A Controls: 5.26"
DE.AE-07,"Mandatory Clause: None, Annex A Controls: 5.7"
DE.AE-08,"Mandatory Clause: None, Annex A Controls: 5.25, Annex A Controls: 5.26"
DE.CM,"Mandatory Clause: 9.1, Annex A Controls: 8.16"
DE.CM-01,"Mandatory Clause: None, Annex A Controls: 8.16"
DE.CM-02,"Mandatory Clause: None, Annex A Controls: 7.4"
DE.CM-03,"Mandatory Clause: 9.1, Annex A Controls: 7.4, Annex A Controls: 8.16"
DE.CM-06,"Mandatory Clause: None, Annex A Controls: 5.22, Annex A Controls: 8.16"
DE.CM-09,"Mandatory Clause: None, Annex A Controls: 8.16"
RS,"Mandatory Clause: None, Annex A Controls: 5.26"
RS.MA,"Mandatory Clause: None, Annex A Controls: 5.24, Annex A Controls: 5.25, Annex A Controls: 5.26, Annex A Controls: 5.27, Annex A Controls: 5.28"
RS.MA-01,"Mandatory Clause: None, Annex A Controls: 5.26, Annex A Controls: 5.27, Annex A Controls: 5.28"
RS.MA-02,"Mandatory Clause: None, Annex A Controls: 5.24, Annex A Controls: 5.26, Annex A Controls: 5.27, Annex A Controls: 5.28, Annex A Controls: 6.8"
RS.MA-03,"Mandatory Clause: None, Annex A Controls: 5.25"
RS.MA-04,"Mandatory Clause: None, Annex A Controls: 5.26"
RS.MA-05,"Mandatory Clause: None, Annex A Controls: 5.25"
RS.AN,"Mandatory Clause: None, Annex A Controls: 5.26, Annex A Controls: 5.28"
RS.AN-03,"Mandatory Clause: None, Annex A Controls: 5.25, Annex A Controls: 5.27"
RS.AN-06,"Mandatory Clause: None, Annex A Controls: 5.28"
RS.AN-07,"Mandatory Clause: None, Annex A Controls: 5.28"
RS.AN-08,"Mandatory Clause: None, Annex A Controls: 5.25"
RS.CO,"Mandatory Clause: None, Annex A Controls: 5.26"
RS.CO-02,"Mandatory Clause: 7.4, Annex A Controls: 5.26"
RS.CO-03,"Mandatory Clause: 7.4, Annex A Controls: 5.26"
RS.MI,"Mandatory Clause: None, Annex A Controls: 5.26"
RS.MI-01,"Mandatory Clause: None, Annex A Controls: 5.26"
RS.MI-02,"Mandatory Clause: None, Annex A Controls: 5.26"
RC,"Mandatory Clause: None, Annex A Controls: 5.29, Annex A Controls: 8.13"
RC.RP,"Mandatory Clause: None, Annex A Controls: 8.13"
RC.RP-01,"Mandatory Clause: None, Annex A Controls: 5.26"
RC.RP-02,"Mandatory Clause: None, Annex A Controls: 5.26"
RC.RP-03,"Mandatory Clause: None, Annex A Controls: 8.13"
RC.RP-04,"Mandatory Clause: 8.1, Annex A Controls: None"
RC.RP-05,"Mandatory Clause: None, Annex A Controls: 5.26"
RC.RP-06,"Mandatory Clause: None, Annex A Controls: 5.27, Annex A Controls: 8.13"
RC.CO,"Mandatory Clause: 8.1, Annex A Controls: 5.28"
RC.CO-03,"Mandatory Clause: 7.4, Annex A Controls: 5.28"
RC.CO-04,"Mandatory Clause: 7.4, Annex A Controls: None"
,
